entrez,teff_AAVS1_324,teff_AAVS1_348,teff_AAVS1_400,teff_Double_324,teff_Double_348,teff_Double_400,teff_HIVEP2_324,teff_HIVEP2_348,teff_HIVEP2_400,teff_SATB1_324,teff_SATB1_348,teff_SATB1_400,treg_AAVS1_324,treg_AAVS1_348,treg_AAVS1_400,treg_Double_324,treg_Double_348,treg_Double_400,treg_HIVEP2_324,treg_HIVEP2_348,treg_HIVEP2_400,treg_SATB1_324,treg_SATB1_348,treg_SATB1_400
7105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
64102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8813,9.0,13.0,6.0,6.0,2.0,11.0,6.0,6.0,14.0,6.0,10.0,12.0,10.0,4.0,9.0,6.0,10.0,5.0,8.0,10.0,7.0,3.0,4.0,8.0
57147,15.0,23.0,34.0,14.0,15.0,32.0,21.0,24.0,46.0,20.0,11.0,32.0,12.0,18.0,33.0,12.0,22.0,24.0,16.0,23.0,32.0,15.0,21.0,15.0
55732,11.0,11.0,22.0,12.0,21.0,34.0,23.0,11.0,31.0,11.0,16.0,11.0,14.0,8.0,26.0,9.0,9.0,24.0,11.0,36.001,17.0,43.0,15.0,26.0
2268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3075,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0
2519,2.0,2.0,6.0,4.0,2.0,3.0,4.0,3.0,8.0,1.0,2.0,2.0,9.0,7.0,7.0,3.0,9.0,5.0,5.0,3.0,4.0,2.0,1.0,5.0
2729,4.0,5.0,7.0,3.0,0.0,2.0,6.0,7.0,3.0,3.0,3.0,4.0,2.0,1.0,9.0,9.0,4.0,6.0,6.0,8.0,7.0,3.0,6.0,3.0
4800,12.0,18.0,11.0,9.0,12.0,13.0,15.0,16.0,18.0,11.0,25.0,15.0,5.0,2.0,7.0,5.0,7.0,10.0,12.0,22.0,15.0,11.0,5.0,10.0
90529,0.0,4.0,8.0,6.0,1.0,4.0,1.0,0.0,4.0,9.0,2.0,3.0,9.0,0.0,8.0,5.0,2.0,3.0,3.0,2.0,2.0,1.0,3.0,8.0
57185,15.0,29.0,21.0,23.0,18.0,31.0,21.0,22.0,23.0,19.0,25.0,27.0,12.0,14.0,25.0,17.0,19.0,14.0,31.0,26.0,25.0,12.0,12.0,22.0
81887,6.0,7.0,6.0,2.0,14.0,11.0,2.0,7.0,9.0,5.0,10.0,12.0,4.0,4.0,8.0,0.0,9.0,7.0,5.0,12.0,4.0,1.0,3.0,1.0
22875,3.0,1.0,4.0,1.0,1.0,1.0,2.0,0.0,3.0,0.0,1.0,2.0,1.0,0.0,4.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0
6405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1080,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
54467,5.0,7.0,13.0,12.0,8.0,6.0,5.0,6.0,16.0,7.001,10.0,6.0,10.0,3.0,8.0,7.0,3.0,11.0,8.0,3.0,14.0,3.0,4.0,0.0
